time,temperature_2m_max,temperature_2m_min,precipitation_sum
2015-06-16,29.5,24.9,21.0
2015-06-17,29.6,24.4,10.3
2015-06-18,27.9,24.7,23.9
2015-06-19,28.8,24.9,17.3
2015-06-20,29.2,25.5,8.2
2015-06-21,31.8,26.3,11.1
2015-06-22,31.2,25.6,17.6
2015-06-23,30.1,25.1,8.9
2015-06-24,31.1,24.9,8.2
2015-06-25,30.7,25.5,15.3
2015-06-26,29.2,24.8,26.3
2015-06-27,28.5,24.5,18.8
2015-06-28,30.0,24.4,6.3
2015-06-29,28.9,25.1,13.4
2015-06-30,31.5,25.2,2.8
2015-07-01,31.5,25.4,8.0
2015-07-02,31.9,25.5,2.7
2015-07-03,31.5,25.6,10.1
2015-07-04,31.3,25.5,5.1
2015-07-05,30.2,25.8,5.0
2015-07-06,30.8,25.4,5.5
2015-07-07,31.1,25.5,2.1
2015-07-08,31.3,25.0,6.7
2015-07-09,29.1,24.9,27.9
2015-07-10,28.8,25.0,29.6
2015-07-11,29.0,25.2,20.9
2015-07-12,30.9,24.3,4.4
2015-07-13,31.6,25.0,3.9
2015-07-14,29.9,24.7,9.2
2015-07-15,27.1,25.0,18.6
2015-07-16,30.1,25.0,13.4
2015-07-17,28.0,24.8,26.1
2015-07-18,30.5,24.0,35.4
2015-07-19,27.1,24.5,33.8
2015-07-20,29.3,24.2,16.2
2015-07-21,30.4,24.8,32.3
2015-07-22,28.3,24.6,32.8
2015-07-23,28.3,24.3,34.2
2015-07-24,28.9,24.2,28.5
2015-07-25,29.8,24.8,33.0
2015-07-26,29.3,24.5,18.1
2015-07-27,31.0,24.6,6.9
2015-07-28,31.7,24.5,3.1
2015-07-29,31.4,23.6,0.8
2015-07-30,31.2,24.6,2.4
2015-07-31,32.1,25.3,3.7
2015-08-01,31.5,24.8,11.8
2015-08-02,29.6,25.2,22.4
2015-08-03,29.4,24.7,17.4
2015-08-04,30.2,24.9,18.0
2015-08-05,29.5,24.4,24.8
2015-08-06,31.0,24.9,6.6
2015-08-07,30.7,25.3,7.9
2015-08-08,31.0,25.2,6.7
2015-08-09,28.8,24.8,21.5
2015-08-10,30.2,24.8,22.4
2015-08-11,30.3,24.7,7.7
2015-08-12,30.2,25.0,9.7
2015-08-13,30.5,24.9,5.0
2015-08-14,30.5,24.5,1.3
2015-08-15,31.1,25.0,6.7
2015-08-16,30.3,24.9,7.3
2015-08-17,31.2,24.7,13.4
2015-08-18,32.2,24.6,22.1
2015-08-19,31.0,25.0,6.7
2015-08-20,32.2,25.5,4.4
2015-08-21,30.7,25.6,8.8
2015-08-22,29.4,25.1,15.8
2015-08-23,28.6,24.8,9.6
2015-08-24,31.2,25.3,5.6
2015-08-25,31.7,25.1,2.0
2015-08-26,30.5,25.1,3.2
2015-08-27,30.6,24.9,2.0
2015-08-28,31.4,25.2,3.5
2015-08-29,31.7,24.1,2.8
2015-08-30,31.0,24.5,4.0
2015-08-31,32.0,25.6,2.3
2015-09-01,32.3,24.6,2.7
2015-09-02,31.0,23.9,2.2
2015-09-03,31.0,24.5,2.1
2015-09-04,30.5,25.8,5.1
2015-09-05,30.1,25.5,12.6
2015-09-06,30.6,24.5,24.9
2015-09-07,29.4,24.5,16.9
2015-09-08,29.1,23.9,10.7
2015-09-09,28.8,24.6,15.0
2015-09-10,29.8,24.5,9.6
2015-09-11,29.9,24.8,14.6
2015-09-12,30.6,24.7,20.1
2015-09-13,31.5,24.7,2.7
2015-09-14,31.0,25.2,5.9
2015-09-15,29.4,25.4,10.9
2015-09-16,29.3,25.0,14.6
2015-09-17,29.7,24.8,19.7
2015-09-18,30.7,25.2,7.9
2015-09-19,29.4,25.2,26.6
2015-09-20,29.5,25.1,16.0
2015-09-21,31.7,24.4,0.0
2015-09-22,31.0,24.8,1.9
2015-09-23,31.6,24.8,4.6
2015-09-24,31.4,24.8,7.7
2015-09-25,32.4,24.6,3.5
2015-09-26,31.5,24.2,13.4
2015-09-27,30.6,24.9,12.8
2015-09-28,31.2,24.3,13.6
2015-09-29,30.7,24.6,11.1
2015-09-30,30.2,24.1,25.3
2015-10-01,30.9,24.5,16.5
2015-10-02,31.1,25.1,7.9
2015-10-03,31.8,25.4,7.7
2015-10-04,29.4,24.8,25.9
2015-10-05,27.3,24.7,30.6
2015-10-06,31.8,24.7,10.7
2015-10-07,32.2,25.1,5.9
2015-10-08,30.7,25.1,16.3
2015-10-09,30.8,24.8,22.8
2015-10-10,30.2,24.8,42.7
2015-10-11,31.6,25.3,12.0
2015-10-12,31.0,24.6,11.4
2015-10-13,31.5,25.3,15.1
2015-10-14,31.2,24.8,5.3
2015-10-15,32.1,25.7,1.0
2015-10-16,32.4,25.5,0.4
2015-10-17,31.5,25.9,1.4
2015-10-18,31.2,25.6,11.4
2015-10-19,32.7,25.0,5.6
2015-10-20,32.0,24.8,1.2
2015-10-21,31.7,25.1,1.4
2015-10-22,31.1,25.3,1.3
2015-10-23,31.3,25.1,3.1
2015-10-24,32.8,25.2,1.5
2015-10-25,28.1,24.7,28.3
2015-10-26,31.2,24.9,0.4
2015-10-27,29.4,24.8,2.2
2015-10-28,31.7,25.0,4.1
2015-10-29,32.1,24.2,7.2
2015-10-30,32.3,24.2,11.2
2015-10-31,30.2,23.9,16.1
